name	term	lev	seq	value
"organophosphate catabolic process"	GO:0046434	2	isogroup13371	0.746759206416186
"organophosphate catabolic process"	GO:0046434	2	isogroup23460	0.579858762342496
"organophosphate catabolic process"	GO:0046434	2	isogroup2535	-0.0651118486645714
"organophosphate catabolic process"	GO:0046434	2	isogroup2633	-1.52729817291771
"organophosphate catabolic process"	GO:0046434	2	isogroup4615	0.196788212312413
"organophosphate catabolic process"	GO:0046434	2	isogroup4927	0.0328831849119808
"organophosphate catabolic process"	GO:0046434	2	isogroup7092	0.00563139341628016
"organophosphate catabolic process"	GO:0046434	2	isogroup8144	1.3307585519386
"organophosphate catabolic process"	GO:0046434	2	isogroup9921	0.0226444055546722
"regulation of cyclic-nucleotide phosphodiesterase activity"	GO:0051342	5	isogroup13526	-6.30279267430728
"regulation of cyclic-nucleotide phosphodiesterase activity"	GO:0051342	5	isogroup1683	-1.30937066522057
"regulation of cyclic-nucleotide phosphodiesterase activity"	GO:0051342	5	isogroup1756	-2.00072486031479
"regulation of cyclic-nucleotide phosphodiesterase activity"	GO:0051342	5	isogroup1890	-0.887118449412611
"regulation of cyclic-nucleotide phosphodiesterase activity"	GO:0051342	5	isogroup1977	0.115853173596122
"regulation of cyclic-nucleotide phosphodiesterase activity"	GO:0051342	5	isogroup2290	-0.1614781906909
"regulation of cyclic-nucleotide phosphodiesterase activity"	GO:0051342	5	isogroup3660	-2.20868787904834
"regulation of cyclic-nucleotide phosphodiesterase activity"	GO:0051342	5	isogroup4105	0.449674777316773
"regulation of cyclic-nucleotide phosphodiesterase activity"	GO:0051342	5	isogroup635	0.0124541154451663
"regulation of cyclic-nucleotide phosphodiesterase activity"	GO:0051342	5	isogroup7848	0.13822082081137
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup12470	5.79663063112804
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup12880	-5.60196255504448
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup13091	-0.0409238862976906
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup14407	-0.399198064065615
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup1557	0.0323593644927485
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup2305	-4.2429334676722
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup2425	0.130143812275577
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup2502	5.57477471343265
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup31610	-0.551715351593714
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup4214	0.438006930417231
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup4586	0.148239676301955
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup4623	-0.600779473248565
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup4912	2.76743304425011
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup583	-3.52850012226449
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup5938	-0.831290495580902
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup6698	0.0216101614510649
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup6746	0.335641003660669
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup8097	0.467873899533345
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup8410	-6.75767854964053
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup9916	-7.52952825292837
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup12910	0.245245003655441
"monosaccharide metabolic process"	GO:0019318;GO:0005996	3	isogroup3801	-3.34685101711784
"nucleocytoplasmic transport"	GO:0006606;GO:1902593;GO:0051170;GO:0006913;GO:0051169	4	isogroup10134	0.0260836397617652
"nucleocytoplasmic transport"	GO:0006606;GO:1902593;GO:0051170;GO:0006913;GO:0051169	4	isogroup10893	3.49686028034847
"nucleocytoplasmic transport"	GO:0006606;GO:1902593;GO:0051170;GO:0006913;GO:0051169	4	isogroup11486	0.182586329859333
"nucleocytoplasmic transport"	GO:0006606;GO:1902593;GO:0051170;GO:0006913;GO:0051169	4	isogroup20045	-0.832457203561802
"nucleocytoplasmic transport"	GO:0006606;GO:1902593;GO:0051170;GO:0006913;GO:0051169	4	isogroup23381	-2.41996845070148
"nucleocytoplasmic transport"	GO:0006606;GO:1902593;GO:0051170;GO:0006913;GO:0051169	4	isogroup2477	-0.182154191854892
"nucleocytoplasmic transport"	GO:0006606;GO:1902593;GO:0051170;GO:0006913;GO:0051169	4	isogroup4844	-0.928190944212474
"nucleocytoplasmic transport"	GO:0006606;GO:1902593;GO:0051170;GO:0006913;GO:0051169	4	isogroup6744	3.40888839700278
"nucleocytoplasmic transport"	GO:0006606;GO:1902593;GO:0051170;GO:0006913;GO:0051169	4	isogroup7736	6.84270150592175
