"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-350 0.371149434944328 3 8 "GO:0000041" "transition metal ion transport" 0.712476651762679
55 0.888744447839558 2 8 "GO:0000059" "protein import into nucleus, docking" 0.963498653732605
-52 0.784204802421038 3 34 "GO:0000160" "phosphorelay signal transduction system" 0.92952660567364
-354 0.397372718758813 2 7 "GO:0000226" "microtubule cytoskeleton organization" 0.737523766016357
94 0.433605460261089 4 86 "GO:0001867;GO:0006956;GO:0002252;GO:0002253;GO:0072376;GO:0050778;GO:0002684;GO:0048584;GO:0050776;GO:0002682;GO:0048583" "regulation of response to stimulus" 0.756364411884005
-516 0.252567520317226 2 6 "GO:0003006;GO:0022414" "developmental process involved in reproduction" 0.643908403446115
0 0.996796081208608 2 140 "GO:0005975" "carbohydrate metabolic process" 0.996796081208608
-297 0.373254020780448 2 11 "GO:0006006" "glucose metabolic process" 0.712476651762679
181 0.665131724130104 2 7 "GO:0006012" "galactose metabolic process" 0.894120881207133
404 0.334104138125707 2 7 "GO:0006022;GO:0006030" "aminoglycan metabolic process" 0.674018783001426
638 0.102458963067402 2 8 "GO:0006066" "alcohol metabolic process" 0.430888572364648
821 0.0688607328059079 4 6 "GO:0006071;GO:0019400;GO:0019751" "polyol metabolic process" 0.387907498618837
-87 0.666736691589802 3 30 "GO:0006091" "generation of precursor metabolites and energy" 0.894120881207133
-204 0.3668651363878 4 24 "GO:0006096;GO:0044724;GO:0016052" "single-organism carbohydrate catabolic process" 0.712476651762679
-90 0.841215230442578 5 6 "GO:0006098;GO:0006007;GO:0006740;GO:0019320;GO:0006739;GO:0046365" "glucose catabolic process" 0.963498653732605
-145 0.678952766661796 3 10 "GO:0006099" "tricarboxylic acid cycle" 0.900097382088781
-36 0.656610395289932 -1 201 "GO:0006118" "electron transport" 0.894120881207133
-15 0.97559264484455 2 5 "GO:0006144" "purine nucleobase metabolic process" 0.991615951458726
344 0.325160325981802 2 10 "GO:0006221;GO:0006220" "pyrimidine nucleotide metabolic process" 0.673546389533733
586 8.22099877923633e-09 4 122 "GO:0006259" "DNA metabolic process" 9.53635858391414e-07
750 0.00245803522057557 2 20 "GO:0006260" "DNA replication" 0.051842197379412
1012 0.0153853390658247 2 7 "GO:0006270" "DNA replication initiation" 0.154238025277394
574 3.73153689837637e-05 3 64 "GO:0006281;GO:0006974" "DNA repair" 0.00173143312084664
843 0.0158857412222173 2 10 "GO:0006289" "nucleotide-excision repair" 0.154238025277394
