"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-124 0.280683666951612 2 10 "GO:0000139" "Golgi membrane" 0.584387477523363
-61 0.0574684142666082 3 142 "GO:0000151" "ubiquitin ligase complex" 0.287264516941003
-33 0.670606755920107 4 22 "GO:0000785" "chromatin" 0.793551327838793
82 0.246259563726737 4 27 "GO:0000786;GO:0044815;GO:1990104;GO:0032993" "protein-DNA complex" 0.584387477523363
16 0.75900064269811 1 51 "GO:0005576" "extracellular region" 0.866985537104506
-153 0.0489470214313714 2 22 "GO:0005578;GO:0044421" "proteinaceous extracellular matrix" 0.287264516941003
246 0.00124328312024791 3 23 "GO:0005581" "collagen trimer" 0.0220682753844004
33 0.787549621601303 3 9 "GO:0005643;GO:0046930" "nuclear pore" 0.866985537104506
295 0.0317297456111981 4 7 "GO:0005663" "DNA replication factor C complex" 0.281601492299383
119 0.276042197794528 3 11 "GO:0005667" "transcription factor complex" 0.584387477523363
13 0.935352028483262 2 5 "GO:0005669" "transcription factor TFIID complex" 0.948714200318737
-137 0.31944336825204 2 7 "GO:0005677" "chromatin silencing complex" 0.584387477523363
69 0.461634000634659 2 15 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.642666942060015
56 0.0698820656210359 3 158 "GO:0005737" "cytoplasm" 0.310101666193347
-93 0.341558522634574 2 14 "GO:0005739" "mitochondrion" 0.584387477523363
127 0.43492558460382 2 5 "GO:0005740;GO:0031967;GO:0031975" "mitochondrial envelope" 0.639219160024423
-60 0.351271372606448 3 32 "GO:0005743;GO:0019866;GO:0031966" "mitochondrial membrane" 0.584387477523363
253 0.0882193646600837 3 6 "GO:0005762;GO:0000315" "mitochondrial large ribosomal subunit" 0.368445581815644
150 0.274387053683736 2 7 "GO:0005764" "lysosome" 0.584387477523363
236 0.0398451642728325 4 10 "GO:0005773;GO:0000323" "vacuole" 0.282900666337111
-99 0.541930693361732 2 5 "GO:0005777" "peroxisome" 0.704154905055542
-19 0.791503981320385 2 25 "GO:0005783" "endoplasmic reticulum" 0.866985537104506
142 0.239420806601281 2 9 "GO:0005786;GO:0048500" "signal recognition particle, endoplasmic reticulum targeting" 0.584387477523363
138 0.3528615308299 -1 6 "GO:0005792" "microsome" 0.584387477523363
211 0.0995135391399586 3 8 "GO:0005834" "heterotrimeric G-protein complex" 0.392525626607614
-172 0.0589065372927741 2 16 "GO:0005839" "proteasome core complex" 0.287264516941003
128 0.000393528512437748 2 110 "GO:0005840" "ribosome" 0.00931350812769337
16 0.793719153687224 2 36 "GO:0005856" "cytoskeleton" 0.866985537104506
-79 0.515439700237923 3 9 "GO:0005862;GO:0044449" "contractile fiber part" 0.697819119836318
-143 0.0388748678610762 4 28 "GO:0005874" "microtubule" 0.282900666337111
-25 0.655512243066734 4 42 "GO:0005875" "microtubule associated complex" 0.788836767080307
244 0.0155670642103183 4 13 "GO:0005884" "actin filament" 0.177950361312839
13 0.932854678214506 3 6 "GO:0005887" "integral component of plasma membrane" 0.948714200318737
-44 0.177284359074123 2 136 "GO:0005952;GO:1902554;GO:1902911;GO:1990234;GO:0005956" "transferase complex" 0.512292168425801
-166 0.0606896866776766 3 17 "GO:0005954" "calcium- and calmodulin-dependent protein kinase complex" 0.287264516941003
-38 0.567517547354912 2 31 "GO:0005963;GO:0008287;GO:0017023" "protein serine/threonine phosphatase complex" 0.704154905055542
-65 0.403117057632058 7 22 "GO:0008021;GO:0030136;GO:0030135;GO:0016023;GO:0031410;GO:0031988;GO:0031982" "synaptic vesicle" 0.608964065784598
-69 0.353924810331051 5 24 "GO:0008076;GO:0034705;GO:0034703;GO:0034702;GO:1902495;GO:1990351" "cation channel complex" 0.584387477523363
78 0.364373691101669 4 18 "GO:0008091;GO:0044448" "cell cortex part" 0.587966637914057
-125 0.399170823722205 2 6 "GO:0008250" "oligosaccharyltransferase complex" 0.608964065784598
-154 0.298919767034277 3 6 "GO:0008305;GO:0043235;GO:0098636" "protein complex involved in cell adhesion" 0.584387477523363
-131 0.376795409662776 5 6 "GO:0015629" "actin cytoskeleton" 0.594499424134602
25 0.867518661277291 2 6 "GO:0016222" "procollagen-proline 4-dioxygenase complex" 0.919310820159517
-219 0.0163344550912447 4 16 "GO:0016459" "myosin complex" 0.177950361312839
-78 0.289169690582186 2 25 "GO:0016469" "proton-transporting two-sector ATPase complex" 0.584387477523363
112 0.0544576884347209 2 40 "GO:0022625;GO:0015934" "large ribosomal subunit" 0.287264516941003
46 0.559938107028426 4 21 "GO:0022627;GO:0015935" "small ribosomal subunit" 0.704154905055542
-122 0.180384566347113 5 16 "GO:0030125;GO:0030118;GO:0030120;GO:0030117;GO:0044433" "vesicle coat" 0.512292168425801
39 0.812542453509776 3 5 "GO:0030173" "integral component of Golgi membrane" 0.874098699987789
116 0.000200530317499039 2 154 "GO:0030529" "ribonucleoprotein complex" 0.00863843612581393
155 0.227012834031458 3 8 "GO:0030532" "small nuclear ribonucleoprotein complex" 0.584387477523363
-93 0.164411208455911 1 30 "GO:0031012" "extracellular matrix" 0.512292168425801
-79 0.14113400861999 2 47 "GO:0031090" "organelle membrane" 0.512292168425801
-41 0.735432918975318 2 9 "GO:0031301" "integral component of organelle membrane" 0.855995692577829
326 0.0175444018195757 3 7 "GO:0042555" "MCM complex" 0.177950361312839
-185 0.178479598606243 4 7 "GO:0042579" "microbody" 0.512292168425801
115 0.000243336228896167 3 151 "GO:0043232;GO:0043228" "non-membrane-bounded organelle" 0.00863843612581393
67 0.168240660063602 2 59 "GO:0044427" "chromosomal part" 0.512292168425801
37 0.52090723030035 2 40 "GO:0044428" "nuclear part" 0.697819119836318
3 0.953418980201639 3 63 "GO:0044429" "mitochondrial part" 0.953418980201639
-45 0.174429719873429 3 132 "GO:0044430" "cytoskeletal part" 0.512292168425801
-61 0.441151251284461 3 21 "GO:0044431" "Golgi apparatus part" 0.639219160024423
-43 0.575225133707344 3 23 "GO:0044432" "endoplasmic reticulum part" 0.704154905055542
51 0.254083171080257 4 68 "GO:0044445;GO:0044391" "cytosolic part" 0.584387477523363
121 0.345457403969561 2 8 "GO:0044451;GO:0090575;GO:0044798" "nucleoplasm part" 0.584387477523363
-17 0.910405697760989 2 6 "GO:0044455" "mitochondrial membrane part" 0.948714200318737
-77 0.209960073952132 1 36 "GO:0044456" "synapse part" 0.573352509638514
-27 0.552998715091018 2 66 "GO:0044459" "plasma membrane part" 0.704154905055542
-92 0.343446918200569 3 14 "GO:0045211;GO:0097060" "postsynaptic membrane" 0.584387477523363
-84 0.33979149233445 3 17 "GO:0098588" "bounding membrane of organelle" 0.584387477523363
83 0.450558220664288 3 11 "GO:1990204" "oxidoreductase complex" 0.639792673343289
