"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-94 0.774016774368848 2 22 "GO:0000030" "mannosyltransferase activity" 0.924710387301551
854 0.211378320494797 2 5 "GO:0000062" "fatty-acyl-CoA binding" 0.635871687915719
193 0.757687230718901 5 6 "GO:0000104;GO:0008177;GO:0016635" "oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor" 0.924710387301551
639 0.117857763748743 2 14 "GO:0000175;GO:0016896;GO:0004532" "3'-5'-exoribonuclease activity" 0.535410983887147
1076 0.0624558545959727 7 7 "GO:0000179;GO:0016433" "rRNA (adenine) methyltransferase activity" 0.402342615860086
629 0.0809847843771252 2 18 "GO:0000810;GO:0004787;GO:0017110;GO:0008758;GO:0008828;GO:0047429;GO:0019176;GO:0019177" "nucleoside-diphosphatase activity" 0.438974342589645
-275 0.486319680388235 3 15 "GO:0001104;GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.852847380680839
-424 0.00575295019483529 -1 101 "GO:0001584" "rhodopsin-like receptor activity" 0.124734420133474
-17 0.979899502259872 4 5 "GO:0001614;GO:0016502;GO:0035586" "purinergic receptor activity" 0.981958114659578
141 0.0660811027393067 2 434 "GO:0003677" "DNA binding" 0.411240762759099
-392 0.37455423360357 2 12 "GO:0003682" "chromatin binding" 0.808842741545827
1051 0.0226287685136758 2 11 "GO:0003684" "damaged DNA binding" 0.274644809180859
-87 0.475730577509838 2 160 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.849900694652407
-333 0.30798920499919 3 22 "GO:0003712;GO:0000989;GO:0000988" "transcription cofactor activity" 0.784074441487792
-308 0.568968796556304 2 8 "GO:0003713" "transcription coactivator activity" 0.880859500014947
414 0.00145072501116176 2 142 "GO:0003723" "RNA binding" 0.0585361298907449
674 0.212317682296266 4 8 "GO:0003725" "double-stranded RNA binding" 0.635871687915719
499 0.000693998494655619 2 110 "GO:0003735" "structural constituent of ribosome" 0.0461156003840872
138 0.588281949811787 6 36 "GO:0003743" "translation initiation factor activity" 0.880859500014947
310 0.448899508527629 2 14 "GO:0003746" "translation elongation factor activity" 0.84348992493946
-144 0.578662772312066 4 35 "GO:0003755;GO:0016859;GO:0004600;GO:0030051;GO:0042027" "cis-trans isomerase activity" 0.880859500014947
-405 0.225049035796904 4 21 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.650596303485595
425 0.534351847318047 -1 5 "GO:0003763" "chaperonin ATPase activity" 0.875104030736926
-143 0.435761954369787 2 70 "GO:0003774" "motor activity" 0.84348992493946
-197 0.410329028137317 3 41 "GO:0003777" "microtubule motor activity" 0.834289301821539
-189 0.387683082240826 2 49 "GO:0003779" "actin binding" 0.821888134350551
-1352 0.0478191854674749 2 5 "GO:0003827" "alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity" 0.369489785100059
113 0.835104656352549 5 8 "GO:0003840" "gamma-glutamyltransferase activity" 0.950723201325633
93 0.637137766168576 2 61 "GO:0003847" "1-alkyl-2-acetylglycerophosphocholine esterase activity" 0.907994202303018
202 0.726952870962197 5 7 "GO:0003858" "3-hydroxybutyrate dehydrogenase activity" 0.913280905105146
279 0.683201111372714 2 5 "GO:0003859" "3-hydroxybutyryl-CoA dehydratase activity" 0.908079333687145
-572 0.35942353799487 2 6 "GO:0003884" "D-amino-acid oxidase activity" 0.808702960488457
502 0.124179712331341 2 22 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.543428649376602
102 0.633092075340074 3 52 "GO:0003899;GO:0034062" "DNA-directed RNA polymerase activity" 0.907994202303018
-66 0.823255319323685 -1 27 "GO:0003900;GO:0003901;GO:0003902" "DNA-directed RNA polymerase I activity" 0.943973046436052
-1250 0.0673157405198516 4 5 "GO:0003904" "deoxyribodipyrimidine photo-lyase activity" 0.411240762759099
783 0.175220857777708 2 7 "GO:0003906" "DNA-(apurinic or apyrimidinic site) lyase activity" 0.628423677894486
-758 0.189509395415387 2 7 "GO:0003913" "DNA photolyase activity" 0.635871687915719
10 0.954842566789118 2 76 "GO:0003924" "GTPase activity" 0.981594621462089
137 0.576939100393167 -1 39 "GO:0003925" "small monomeric GTPase activity" 0.880859500014947
-319 0.339031621581406 -1 21 "GO:0003936" "hydrogen-transporting two-sector ATPase activity" 0.796640805390791
1042 0.0409112692501034 4 9 "GO:0003943" "N-acetylgalactosamine-4-sulfatase activity" 0.351080306659963
-277 0.631094565311487 5 7 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.907994202303018
265 0.671324414063678 5 6 "GO:0003960" "NADPH:quinone reductase activity" 0.908079333687145
105 0.856149898594275 3 7 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 0.951596587467949
791 0.0528873647105039 5 14 "GO:0003993" "acid phosphatase activity" 0.379033497920277
19 0.966895710851011 4 11 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.981958114659578
-1074 0.116008120293216 3 5 "GO:0004012;GO:0005548" "phospholipid-translocating ATPase activity" 0.532075705575616
98 0.874927770727175 3 6 "GO:0004016;GO:0008294" "adenylate cyclase activity" 0.951596587467949
-690 0.312568656235326 2 5 "GO:0004017" "adenylate kinase activity" 0.784074441487792
213 0.658960152755085 5 10 "GO:0004029;GO:0047105" "aldehyde dehydrogenase (NAD) activity" 0.908079333687145
183 0.789328141075847 6 5 "GO:0004032;GO:0008106;GO:0004033" "alcohol dehydrogenase (NADP+) activity" 0.927363357864973
-423 0.498182893605313 2 6 "GO:0004047;GO:0046997" "aminomethyltransferase activity" 0.858992938151169
-573 0.401606297897649 5 5 "GO:0004048" "anthranilate phosphoribosyltransferase activity" 0.827596357655917
-772 0.21583181289157 2 6 "GO:0004051" "arachidonate 5-lipoxygenase activity" 0.635871687915719
403 0.455743002273127 4 8 "GO:0004065" "arylsulfatase activity" 0.84348992493946
-232 0.710359560441522 2 6 "GO:0004067" "asparaginase activity" 0.913280905105146
-363 0.561016602725399 5 6 "GO:0004085;GO:0052890" "butyryl-CoA dehydrogenase activity" 0.878204163635664
352 0.372815738696462 2 15 "GO:0004089" "carbonate dehydratase activity" 0.808842741545827
1292 0.0587699029188539 2 5 "GO:0004090" "carbonyl reductase (NADPH) activity" 0.402342615860086
-505 0.460350843183991 3 5 "GO:0004095" "carnitine O-palmitoyltransferase activity" 0.84348992493946
-860 0.051317636548921 2 12 "GO:0004114;GO:0004112" "3',5'-cyclic-nucleotide phosphodiesterase activity" 0.376592502059005
858 0.209564162961444 5 5 "GO:0004128" "cytochrome-b5 reductase activity, acting on NAD(P)H" 0.635871687915719
-376 0.394517758446608 4 12 "GO:0004129;GO:0009055;GO:0015002;GO:0016676;GO:0016675" "oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor" 0.824535321915128
-377 0.458979038912542 5 9 "GO:0004143" "diacylglycerol kinase activity" 0.84348992493946
43 0.950009941017223 4 5 "GO:0004144" "diacylglycerol O-acyltransferase activity" 0.981594621462089
-207 0.701665503144382 3 8 "GO:0004165" "dodecenoyl-CoA delta-isomerase activity" 0.912723841140961
-249 0.0236379266766984 5 200 "GO:0004175" "endopeptidase activity" 0.274644809180859
-445 0.514690274600534 2 5 "GO:0004176" "ATP-dependent peptidase activity" 0.871454812470469
1063 0.0885040772184921 2 6 "GO:0004177" "aminopeptidase activity" 0.462757607946655
-141 0.759809250765185 2 11 "GO:0004180;GO:0004181" "carboxypeptidase activity" 0.924710387301551
-519 0.129045152123673 -1 20 "GO:0004182" "carboxypeptidase A activity" 0.549594085383857
-94 0.879777977093009 2 6 "GO:0004185;GO:0070008" "serine-type carboxypeptidase activity" 0.951596587467949
393 0.416480245750067 2 10 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.841784225520263
14 0.929856644480256 2 93 "GO:0004197;GO:0008234" "cysteine-type peptidase activity" 0.970550589534096
135 0.843698601742561 2 5 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.950723201325633
-77 0.851066681270535 -1 14 "GO:0004217" "cathepsin L activity" 0.950723201325633
-90 0.679636384567773 2 50 "GO:0004221;GO:0016790;GO:0036459" "thiolester hydrolase activity" 0.908079333687145
-535 0.0127853030777457 2 51 "GO:0004222" "metalloendopeptidase activity" 0.210296192002921
-593 0.146882610411653 -1 14 "GO:0004238" "meprin A activity" 0.569617928181776
631 0.355787069900931 -1 5 "GO:0004239" "methionyl aminopeptidase activity" 0.804314845226275
-124 0.778339354021862 -1 12 "GO:0004245" "neprilysin activity" 0.925855042065906
-330 0.209544233743453 -1 34 "GO:0004249;GO:0008133;GO:0008319;GO:0030402" "stromelysin 3 activity" 0.635871687915719
-150 0.579277096443335 2 32 "GO:0004252;GO:0008132;GO:0008243;GO:0008991;GO:0016808" "serine-type endopeptidase activity" 0.880859500014947
-578 0.354119868126475 -1 6 "GO:0004285" "proprotein convertase 1 activity" 0.804314845226275
397 0.314253219468431 -1 15 "GO:0004287" "prolyl oligopeptidase activity" 0.784074441487792
94 0.677675569640243 -1 46 "GO:0004289" "subtilase activity" 0.908079333687145
-146 0.589086332295111 -1 32 "GO:0004295;GO:0004263" "trypsin activity" 0.880859500014947
-852 0.0038396100083192 6 27 "GO:0004298;GO:0070003;GO:0004299" "threonine-type endopeptidase activity" 0.122099598264551
898 0.120129509072815 2 7 "GO:0004300" "enoyl-CoA hydratase activity" 0.540582790827667
527 0.440658787802796 4 5 "GO:0004301" "epoxide hydrolase activity" 0.84348992493946
564 0.128590113997213 2 17 "GO:0004303;GO:0033764;GO:0016229" "steroid dehydrogenase activity" 0.549594085383857
339 0.461629587919713 3 11 "GO:0004308;GO:0016997" "alpha-sialidase activity" 0.84348992493946
1045 0.0532395059971877 5 8 "GO:0004312" "fatty acid synthase activity" 0.379033497920277
